RestaurantName,OpenHours,Description,Image,Location,Uuid,Rate
Kushi Tsuru,11:30-21:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/540,Brasília,4c71a5cb-2503-4e17-8d24-53199b911b95,4.4092404627711100
Osakaya Restaurant,11:30-21:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/541,Salvador,e4815477-66db-437f-8d7b-b465f6d22ef6,0.2952828740084210
The Stinking Rose,9:00-22:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/542,São Paulo,d277f876-8cb9-4181-bfb5-2482c008c185,2.5327807415542900
McCormick & Kuleto's,11:30-23:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/543,Rio de Janeiro,79858e87-17aa-45a9-86a3-b73b52097003,3.7403241543315400
Mifune Restaurant,11:00-22:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/544,Feira de Santana,f2a9d146-204e-4ed0-b676-15f1e22afba2,1.5589101320389200
The Cheesecake Factory,11:00-23:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/545,Fortaleza,cb5ebb97-983f-4106-b3da-e5415a98627c,0.1370867446036080
New Delhi Indian Restaurant,11:00-17:30,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/546,Palmas,47405671-6c75-4855-b837-e9776b7baf4d,2.0914437930643600
Iroha Restaurant,11:00-17:30,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/547,Hong Kong,2fe1d7ce-402c-4ff8-841a-403832e36899,1.4307554462555300
Rose Pistola,9:00-22:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/548,Moscou,9357c574-c1f2-4450-8c49-dcf4cc0bbc81,0.9497038586371370
Alioto's Restaurant,11:00-23:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/549,Nova Iorque,2eadec87-786d-4450-8aee-f54cd325a4f3,0.0271324211487695
Canton Seafood & Dim Sum Restaurant,10:30-22:30,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/550,Washington,5c923011-73c2-469d-9167-404a605774c5,1.3236938635196300
All Season Restaurant,10:00-21:30,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/551,Nova Jersey,42f89abe-326c-4146-b1e3-c8d1b9e183c8,0.0182624727253811
Bombay Indian Restaurant,11:30-21:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/552,Toronto,654e61da-cf24-49f4-95ef-9a6f7eb52ade,1.0470014256626400
Sam's Grill & Seafood Restaurant,11:30-21:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/553,Brasília,1b2ee494-4650-4675-adaf-84fb3a9e5bfa,2.6227477624944800
2G Japanese Brasserie,11:30-23:00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed aliquam enim eu felis mollis convallis. Sed lobortis finibus magna in ornare. Suspendisse id lorem scelerisque, ornare nibh in, euismod mauris. Phasellus rhoncus ac lacus a vestibulum. Nullam efficitur porta libero ac mattis.",https://picsum.photos/960/554,Salvador,fbeb7e9e-b34e-4279-8b53-b6cf5d2bd79a,2.2383734026130100
